,START_CITY*,AVG_DIST*,EARLIEST_TRIP*,RECENT_TRIP*
0,Agnew,2.775,11/4/2016 21:04,11/6/2016 10:50
1,Almond,15.2,10/30/2016 12:58,10/30/2016 12:58
2,Apex,5.34117647058824,1/29/2016 21:21,8/10/2016 19:47
3,Arabi,17,6/25/2016 10:50,6/25/2016 10:50
4,Arlington,4.9,8/2/2016 11:51,8/2/2016 11:51
5,Arlington Park at Amberly,1.3,8/1/2016 13:08,8/1/2016 13:08
6,Asheville,143.85,10/28/2016 20:13,10/30/2016 15:22
7,Austin,136,3/17/2016 12:52,3/17/2016 12:52
8,Banner Elk,12.375,7/15/2016 11:32,7/17/2016 11:23
9,Bellevue,12.9,5/5/2016 23:55,5/5/2016 23:55
10,Berkeley,14.375,10/18/2016 20:31,6/13/2016 18:54
11,Boone,102,7/16/2016 19:42,7/17/2016 12:20
12,Briar Meadow,9.6,3/20/2016 18:45,3/20/2016 18:45
13,Bryson City,20.82,10/30/2016 10:11,10/30/2016 9:07
14,Burtrose,4.8,4/27/2016 14:13,4/27/2016 14:13
15,CBD,3.85,6/15/2016 15:26,7/8/2016 9:50
16,Capitol One,9.45,5/4/2016 21:30,5/6/2016 5:47
17,Cary,8.91194029850746,1/10/2016 8:05,8/9/2016 15:15
18,Central,1.95,11/11/2016 18:30,11/9/2016 21:56
19,Chalmette,1.1,6/25/2016 10:18,6/25/2016 10:18
20,Chapel Hill,20.15,2/1/2016 12:10,5/6/2016 16:45
21,Chessington,3.35,4/24/2016 19:46,7/19/2016 17:50
22,College Avenue,2.6,11/11/2016 21:08,11/11/2016 21:08
23,Colombo,5.1,2/16/2016 10:31,2/17/2016 15:33
24,Columbia Heights,1.5,8/5/2016 19:17,8/5/2016 19:17
25,Congress Ave District,0.8,3/11/2016 10:29,3/11/2016 10:29
26,Connecticut Avenue,1.3,8/5/2016 17:23,8/5/2016 17:23
27,Convention Center District,2,3/16/2016 14:44,3/16/2016 14:44
28,Cory,3.9,11/4/2016 22:12,11/4/2016 22:12
29,Couples Glen,16.95,3/26/2016 14:05,3/28/2016 19:30
30,Covington,5.06666666666667,6/27/2016 10:22,6/27/2016 9:43
31,Coxville,12.5,3/13/2016 22:19,3/13/2016 22:19
32,Daytona Beach,80.5,4/2/2016 16:57,4/2/2016 16:57
33,Downtown,4.05555555555556,1/13/2016 13:54,6/14/2016 17:27
34,Durham,10.3891891891892,1/15/2016 13:26,8/10/2016 17:53
35,Eagan Park,3.9,1/14/2016 21:39,1/14/2016 21:39
36,Eagle Rock,3.6,10/25/2016 15:16,10/25/2016 15:16
37,East Austin,12.8,3/10/2016 10:08,3/10/2016 10:08
38,East Elmhurst,5.4,2/13/2016 23:45,2/14/2016 14:07
39,East Harlem,6.4,1/11/2016 8:55,1/11/2016 8:55
40,Eastgate,5.7,2/11/2016 17:49,2/11/2016 17:49
41,Edgehill Farms,2.6375,10/18/2016 8:53,8/8/2016 17:02
42,El Cerrito,3.1,11/16/2016 22:52,11/16/2016 22:52
43,Elk Park,12.2,7/15/2016 15:03,7/15/2016 15:03
44,Elmhurst,7.5,1/10/2016 18:18,1/10/2016 18:18
45,Emeryville,5.23,10/18/2016 19:03,6/14/2016 17:15
46,Fairmont,3.4,1/27/2016 12:34,1/27/2016 12:34
47,Farmington Woods,4.35,1/18/2016 16:13,8/8/2016 16:37
48,Fayetteville Street,7.26666666666667,1/20/2016 11:48,3/7/2016 12:10
49,Financial District,4.8,6/8/2016 20:11,6/8/2016 20:11
50,Flatiron District,1.6,1/11/2016 11:56,1/11/2016 11:56
51,Florence,159.3,4/3/2016 2:00,4/3/2016 2:00
52,Fort Pierce,16.66,1/1/2016 21:11,1/6/2016 14:42
53,Fuquay-Varina,15.6,12/10/2016 14:42,12/10/2016 14:42
54,Galveston,30.05,3/19/2016 17:17,3/19/2016 19:33
55,Gampaha,48.2,12/31/2016 22:08,12/31/2016 22:08
56,Georgian Acres,6.2,3/13/2016 20:07,3/13/2016 20:07
57,Gulfton,11.8,1/13/2016 15:00,1/13/2016 15:00
58,Hayesville,75.7,10/29/2016 17:13,10/29/2016 17:13
59,Hazelwood,3.67142857142857,1/26/2016 12:33,7/22/2016 11:37
60,Hell's Kitchen,2,1/12/2016 15:42,1/12/2016 15:42
61,Heritage Pines,3.8,2/25/2016 16:47,8/11/2016 13:14
62,Holly Springs,13.5,11/26/2016 18:29,4/14/2016 16:00
63,Houston,17.58,1/14/2016 16:29,3/19/2016 15:34
64,Hudson Square,3.2,1/12/2016 12:53,1/12/2016 15:13
65,Huntington Woods,5.9,10/27/2016 19:52,6/3/2016 19:36
66,Ingleside,5.5,11/9/2016 18:21,11/9/2016 18:21
67,Islamabad,7.03859649122807,10/10/2016 17:22,9/30/2016 20:59
68,Jackson Heights,1.8,2/14/2016 0:50,2/14/2016 0:50
69,Jacksonville,187.6,3/25/2016 22:54,4/2/2016 19:38
70,Jamaica,19.4,1/10/2016 12:17,6/8/2016 12:04
